ic_site_id,url_domain
1948,cosmopolitan.com
2027,elle.com
1952,quotenet.nl
1923,esquire.com
1925,prima.co.uk
1925,micasarevista.com
2059,elledecor.com
2060,modernliving.jp
1927,jan-magazine.nl
10067,townandcountrymag.com
1969,nuevoestilo.es
2153,menshealth.com
1941,gente.it
2027,cosmopolitan.com
2162,harpersbazaar.com
2148,runnersworld.com
1919,menshealth.com
1947,jan-magazine.nl
2153,micasarevista.com
2149,menshealth.com
1921,prima.co.uk
1921,esquire.com
1939,elle.com
1921,crfashionbook.com
1921,seventeen.com
1921,ellegirl.jp
1925,fujingaho.jp
2159,countryliving.com
1936,womenshealthmag.com
10070,womansday.com
2119,harpersbazaar.com
2151,womenshealthmag.com
2153,womenshealthmag.com
1941,micasarevista.com
1919,seventeen.com
2163,elle.com
2148,bicycling.com
1925,redonline.co.uk
2060,25ans.jp
2164,thepioneerwoman.com
2152,runnersworld.com
2169,modernliving.jp
2151,fujingaho.jp
1949,menshealth.com
2163,cosmopolitan.com
1921,womansday.com
1925,cosmopolitan.com
2059,runnersworld.com
2060,esquire.com
10013,mysanantonio.com
10022,wtae.com
2109,elle.com
1942,cosmopolitan.com
2021,ellegirl.jp
1949,elle.com
1920,digitalspy.com
1919,25ans.jp
2163,womenshealthmag.com
2027,esquire.com
1930,runnersworld.com
2059,elle.com
1939,goodhousekeeping.com
2146,glamour.nl
2060,htvnationaldesk.com
10037,koco.com
2027,harpersbazaar.com
2167,runnersworld.com
2124,elle.com
1919,veranda.com
1949,cosmopolitan.com
10018,wmur.com
1941,cosmopolitan.com
1948,harpersbazaar.com
1919,elle.com
2101,womenshealthmag.com
2059,nuevoestilo.es
1927,redbookmag.com
1925,ellegirl.jp
1927,menshealth.com
1927,ellegirl.jp
1919,htvnationaldesk.com
1925,htvnationaldesk.com
10039,ketv.com
2029,ellechina.com
2119,menshealth.com
2097,cosmopolitan.com
2097,25ans.jp
2020,25ans.jp
1949,esquire.com
2017,ellemen.com
1936,menshealth.com
1927,elle.com
1939,prima.co.uk
2060,housebeautiful.com
2059,redonline.co.uk
2159,elle.com
2142,runnersworld.com
1923,htvnationaldesk.com
1959,womenshealthmag.com
2119,caranddriver.com
2153,quemedices.es
1944,elle.com
2017,elle.com
1919,redonline.co.uk
1984,menshealth.com
1984,elle.com
2167,womenshealthmag.com
2069,cosmopolitan.com
1950,bicycling.com
1949,womenshealthmag.com
1921,redbookmag.com
2159,delish.com
1925,25ans.jp
1925,delish.com
1927,prevention.com
1927,ellemen.com
2159,goodhousekeeping.com
1947,mor-tv.com
2078,wjcl.com
1961,emprendedores.es
1985,diezminutos.es
2153,esquire.com
2081,jan-magazine.nl
1950,womenshealthmag.com
1930,elle.com
1927,crfashionbook.com
2114,townandcountrymag.com
1925,elledecor.com
2060,cosmopolitan.com
2159,redbookmag.com
1782,delish.com
10036,wdsu.com
1954,ar-revista.com
1965,quemedices.es
1985,cosmopolitan.com
1969,elle.com
2097,ellegirl.jp
2162,esquire.com
2124,runnersworld.com
1919,womenshealthmag.com
1922,elledecoration.co.uk
1927,micasarevista.com
1966,quo.es
2119,womenshealthmag.com
2154,fotogramas.es
2124,marieclaire.it
2158,25ans.jp
1947,womenshealthmag.com
2155,quest.nl
2060,digitalspy.com
10019,mor-tv.com
10046,ksbw.com
2138,watchstitch.com
1960,micasarevista.com
1963,micasarevista.com
1959,cosmopolitan.com
1942,elle.com
2168,runnersworld.com
2162,elledecor.com
2162,elle.com
2148,harpersbazaar.com
1921,redonline.co.uk
1921,delish.com
1930,womenshealthmag.com
1927,countryliving.com
10051,elle.com
10028,wgal.com
1969,esquire.com
2119,elledecor.com
2168,marieclaire.it
1948,womenshealthmag.com
1947,menshealth.com
2172,nationalgeographic.nl
2148,jan-magazine.nl
1959,elledecor.com
1939,cosmopolitan.com
1939,ellegirl.jp
10032,mynbc5.com
2154,runnersworld.com
2027,25ans.jp
1949,quotenet.nl
1919,cosmopolitan.com
1984,bicycling.com
2097,fujingaho.jp
2114,elle.com
1960,nuevoestilo.es
1960,diezminutos.es
1943,elledecor.com
1943,marieclaire.it
1919,digitalspy.com
1939,redonline.co.uk
2059,housebeautiful.com
1925,runnersworld.com
2068,wvtm13.com
